Nominal mass	Compositions	Charges
104	H4C2N2O3,H4CCxN2O3,H4C2N2O2Ox	-1
104	H4C7O,H4C6CxO,H4C5Cx2O,H4C4Cx3O	1
104	H8C4OS,H8C3CxOS,H8C4OSx,H8C2Cx2OS,H8CCx3OS	-1,1
104	H6C3NO3,H6C2CxNO3,H6C3NO2Ox,H6CCx2NO3	1
104	H4C6N2,H4C5CxN2,H4C4Cx2N2,H4C3Cx3N2	1
104	H8C4O3,H8C3CxO3,H8C4O2Ox,H8C2Cx2O3,H8CCx3O3	-1,1
104	H8C3N2O2,H8C2CxN2O2,H8C3N2OOx,H8CCx2N2O2	-1,1
104	H8C8,H8C7Cx,H8C6Cx2,H8C5Cx3	1
104	H12C5O2,H12C4CxO2,H12C5OOx,H12C3Cx2O2,H12C2Cx3O2	-1,1
105	H4C2NPS,H4CCxNPS,H4C2NPSx	1
105	H3C2NO4,H3CCxNO4,H3C2NO3Ox	-1
105	H3C5N3,H3C4CxN3,H3C3Cx2N3,H3C2Cx3N3	-1
105	H7C3NO3,H7C3NxO3,H7C2CxNO3,H7C3NO2Ox,H7CCx2NO3	-1,1
105	H5C6N2,H5C5CxN2,H5C4Cx2N2,H5C3Cx3N2	1
105	H7C7N,H7C6CxN,H7C5Cx2N,H7C4Cx3N	1
105	H11C4NS,H11C3CxNS,H11C4NSx,H11C2Cx2NS,H11CCx3NS	1
105	H11C4NO2,H11C3CxNO2,H11C4NOOx,H11C2Cx2NO2	-1,1
106	O3NaCl,O3NaClx,O2OxNaCl	1
106	H3C2OPS,H3CCxOPS	1
106	CO3Na2,CO2OxNa2	1
106	H6C2O3Si,H6CCxO3Si	-1
106	H6C3O2S,H6C2CxO2S,H6C3O2Sx,H6CCx2O2S	-1
106	H6C3O4,H6C2CxO4,H6C3O3Ox,H6CCx2O4	-1
106	H6C7O,H6C6CxO,H6C5Cx2O,H6C4Cx3O	1
106	H10C4OS,H10C3CxOS,H10C4OSx,H10C2Cx2OS,H10CCx3OS	-1,1
106	H6C6N2,H6C5CxN2,H6C4Cx2N2,H6C3Cx3N2	-1,1
106	H10C4O3,H10C3CxO3,H10C4O2Ox,H10C2Cx2O3,H10CCx3O3	-1,1
106	H10C8,H10C7Cx,H10C5Cx3	1
107	HCNSe	-1
107	H3O3Fe,H3O2OxFe	-1,1
107	HCNO3S,HCNO3Sx,HCNO2OxS	-1
107	H5C6NO,H5C5CxNO,H5C4Cx2NO,H5C3Cx3NO	1
107	H5C5N3,H5C4CxN3,H5C3Cx2N3,H5C2Cx3N3	-1,1
107	H7C7O,H7C6CxO,H7C5Cx2O,H7C4Cx3O	-1
107	H10C4NCl,H10C3CxNCl,H10C4NClx,H10C2Cx2NCl,H10CCx3NCl	1
107	H9C7N,H9C6CxN,H9C5Cx2N,H9C4Cx3N	-1,1
108	H4C6O2,H4C5CxO2,H4C6OOx,H4C4Cx2O2,H4C3Cx3O2	1
108	H8C2O3Si,H8CCxO3Si,H8C2O2OxSi	1
108	H4C5N2O,H4C4CxN2O,H4C3Cx2N2O,H4C2Cx3N2O	-1,1
108	H4C4N4,H4C3CxN4,H4C2Cx2N4,H4CCx3N4	-1,1
108	H8C7O,H8C6CxO,H8C5Cx2O,H8C4Cx3O	-1,1
108	H8C6N2,H8C5CxN2,H8C4Cx2N2,H8C3Cx3N2	-1,1
108	H12C8,H12C7Cx,H12C6Cx2,H12C5Cx3	1
109	HC2NCl2,HCCxNCl2,HC2NClClx	-1
109	H3C5NO2,H3C4CxNO2,H3C5NOOx,H3C3Cx2NO2,H3C2Cx3NO2	1
109	H7C2NO2S,H7CCxNO2S,H7C2NO2Sx,H7C2NOOxS	-1,1
109	H5C6O2,H5C5CxO2,H5C6OOx,H5C4Cx2O2,H5C3Cx3O2	-1,1
109	H7C6NO,H7C5CxNO,H7C4Cx2NO,H7C3Cx3NO	-1,1
109	H7C5N3,H7C4CxN3,H7C3Cx2N3,H7C2Cx3N3	-1,1
109	H11C7N,H11C6CxN,H11C5Cx2N,H11C4Cx3N	1
110	H2CS3,H2CS2Sx	-1
110	H3C3O3Na,H3C2CxO3Na,H3C3O2OxNa,H3CCx2O3Na	-1
110	H2C5O3,H2C4CxO3,H2C5O2Ox,H2C3Cx2O3,H2C2Cx3O3	-1,1
110	H6CO4Si,H6CO3OxSi	-1
110	H6C2O3S,H6CCxO3S,H6C2O3Sx,H6C2O2OxS	-1
110	H7C2O3P,H7CCxO3P,H7C2O2OxP	1
110	H6C6S,H6C5CxS,H6C6Sx,H6C4Cx2S,H6C3Cx3S	1
110	H6C6O2,H6C5CxO2,H6C6OOx,H6C4Cx2O2,H6C3Cx3O2	-1,1
110	H6C5N2O,H6C4CxN2O,H6C3Cx2N2O,H6C2Cx3N2O	-1,1
110	H10C7O,H10C6CxO,H10C5Cx2O,H10C4Cx3O	-1,1
110	H10C6N2,H10C5CxN2,H10C4Cx2N2,H10C3Cx3N2	-1,1
110	H14C8,H14C7Cx,H14C6Cx2,H14C5Cx3	1
111	H6CNO3P,H6CNO2OxP	1
