Nominal mass	Compositions	Charges
384	H21C21N2O3Cl,H21C20CxN2O3Cl,H21C21N2O3Clx,H21C21N2O2OxCl,H21C19Cx2N2O3Cl,H21C18Cx3N2O3Cl	-1,1
384	H20C19N4O3S,H20C18CxN4O3S,H20C19N4O3Sx,H20C19N4O2OxS,H20C17Cx2N4O3S,H20C16Cx3N4O3S	-1,1
384	H24C14O12,H24C13CxO12,H24C14O11Ox,H24C12Cx2O12,H24C11Cx3O12	-1,1
384	H20C24N2OS,H20C23CxN2OS,H20C24N2OSx,H20C22Cx2N2OS,H20C21Cx3N2OS	-1,1
384	H20C20N2O6,H20C19CxN2O6,H20C20N2O5Ox,H20C18Cx2N2O6,H20C17Cx3N2O6	-1
384	H24C21N2OS2,H24C20CxN2OS2,H24C21N2OSSx,H24C19Cx2N2OS2,H24C18Cx3N2OS2	-1,1
384	H24C17N2O6S,H24C16CxN2O6S,H24C17N2O6Sx,H24C17N2O5OxS,H24C15Cx2N2O6S,H24C14Cx3N2O6S	-1
384	H24C13N2O11,H24C12CxN2O11,H24C13N2O10Ox,H24C11Cx2N2O11,H24C10Cx3N2O11	-1,1
384	H20C19N4O5,H20C18CxN4O5,H20C19N4O4Ox,H20C17Cx2N4O5,H20C16Cx3N4O5	-1,1
384	H36C12O4Si5,H36C11CxO4Si5,H36C12O3OxSi5,H36C10Cx2O4Si5,H36C9Cx3O4Si5	-1,1
384	H24C16N4O5S,H24C15CxN4O5S,H24C16N4O5Sx,H24C16N4O4OxS,H24C14Cx2N4O5S,H24C13Cx3N4O5S	-1,1
384	H21C21N2O4F,H21C20CxN2O4F,H21C21N2O3OxF,H21C19Cx2N2O4F,H21C18Cx3N2O4F	-1
384	H24C21N2O3S,H24C20CxN2O3S,H24C21N2O3Sx,H24C21N2O2OxS,H24C19Cx2N2O3S,H24C18Cx3N2O3S	-1,1
384	H19C16N6O2F3,H19C15CxN6O2F3,H19C16N6OOxF3,H19C14Cx2N6O2F3,H19C13Cx3N6O2F3	-1,1
384	H24C17N2O8,H24C16CxN2O8,H24C17N2O7Ox,H24C15Cx2N2O8,H24C14Cx3N2O8	-1,1
384	H20C18N6O4,H20C17CxN6O4,H20C18N6O3Ox,H20C16Cx2N6O4,H20C15Cx3N6O4	-1,1
384	H36O20Si,H36O19OxSi	-1,1
384	H24C22O6,H24C21CxO6,H24C22O5Ox,H24C20Cx2O6,H24C19Cx3O6	-1,1
384	H20C23N4O2,H20C22CxN4O2,H20C23N4OOx,H20C21Cx2N4O2,H20C20Cx3N4O2	-1,1
384	H25C22N2O2Cl,H25C21CxN2O2Cl,H25C22N2O2Clx,H25C22N2OOxCl,H25C20Cx2N2O2Cl,H25C19Cx3N2O2Cl	-1
384	H28C19O6S,H28C18CxO6S,H28C19O6Sx,H28C19O5OxS,H28C17Cx2O6S,H28C16Cx3O6S	-1,1
384	H24C20N4O2S,H24C19CxN4O2S,H24C20N4O2Sx,H24C20N4OOxS,H24C18Cx2N4O2S,H24C17Cx3N4O2S	-1,1
384	H24C21N2O5,H24C20CxN2O5,H24C21N2O4Ox,H24C19Cx2N2O5,H24C18Cx3N2O5	-1,1
384	H20C22N6O,H20C21CxN6O,H20C20Cx2N6O,H20C19Cx3N6O	-1,1
384	H28C19O8,H28C18CxO8,H28C19O7Ox,H28C17Cx2O8,H28C16Cx3O8	-1,1
384	H24C20N4O4,H24C19CxN4O4,H24C20N4O3Ox,H24C18Cx2N4O4,H24C17Cx3N4O4	-1
384	H29C19N2O4Cl,H29C18CxN2O4Cl,H29C19N2O4Clx,H29C19N2O3OxCl,H29C17Cx2N2O4Cl,H29C16Cx3N2O4Cl	-1,1
384	H24C25N2O2,H24C24CxN2O2,H24C25N2OOx,H24C23Cx2N2O2,H24C22Cx3N2O2	-1,1
384	H28C22N2O2S,H28C21CxN2O2S,H28C22N2O2Sx,H28C22N2OOxS,H28C20Cx2N2O2S,H28C19Cx3N2O2S	-1,1
384	H28C18N2O7,H28C17CxN2O7,H28C18N2O6Ox,H28C16Cx2N2O7,H28C15Cx3N2O7	-1,1
384	H36C5O18,H36C4CxO18,H36C5O17Ox,H36C3Cx2O18,H36C2Cx3O18	-1,1
384	H28C23O5,H28C22CxO5,H28C23O4Ox,H28C21Cx2O5,H28C20Cx3O5	-1,1
384	H25BC19N4O4,H25BC18CxN4O4,H25BC19N4O3Ox,H25BC17Cx2N4O4,H25BC16Cx3N4O4	-1
384	H32C20O5S,H32C19CxO5S,H32C20O5Sx,H32C20O4OxS,H32C18Cx2O5S,H32C17Cx3O5S	-1,1
384	H25C26N2F,H25C25CxN2F,H25C24Cx2N2F,H25C23Cx3N2F	-1,1
384	H32C20O7,H32C19CxO7,H32C20O6Ox,H32C18Cx2O7,H32C17Cx3O7	-1,1
384	H28C21N4O3,H28C20CxN4O3,H28C21N4O2Ox,H28C19Cx2N4O3,H28C18Cx3N4O3	-1,1
384	H28C26N2O,H28C25CxN2O,H28C24Cx2N2O,H28C23Cx3N2O	1
384	H32C23N2OS,H32C22CxN2OS,H32C23N2OSx,H32C21Cx2N2OS,H32C20Cx3N2OS	-1,1
384	H32C19N2O6,H32C18CxN2O6,H32C19N2O5Ox,H32C17Cx2N2O6,H32C16Cx3N2O6	1
384	H32C24O4,H32C23CxO4,H32C24O3Ox,H32C22Cx2O4,H32C21Cx3O4	-1,1
384	H36C17O9,H36C16CxO9,H36C17O8Ox,H36C15Cx2O9,H36C14Cx3O9	1
384	H36C21O6,H36C20CxO6,H36C21O5Ox,H36C19Cx2O6,H36C18Cx3O6	-1,1
384	H36C25O3,H36C24CxO3,H36C25O2Ox,H36C23Cx2O3,H36C22Cx3O3	1
384	H40C22O5,H40C21CxO5,H40C22O4Ox,H40C20Cx2O5,H40C19Cx3O5	-1,1
384	H44C23O4,H44C22CxO4,H44C23O3Ox,H44C21Cx2O4,H44C20Cx3O4	-1,1
384	H44C27O,H44C26CxO,H44C25Cx2O,H44C24Cx3O	1
384	H48C24O3,H48C23CxO3,H48C24O2Ox,H48C22Cx2O3,H48C21Cx3O3	-1,1
385	H11C17N3O6S,H11C16CxN3O6S,H11C17N3O6Sx,H11C17N3O5OxS,H11C15Cx2N3O6S,H11C14Cx3N3O6S	1
385	H13C19N3O2Cl2,H13C18CxN3O2Cl2,H13C19N3O2ClClx,H13C19N3OOxCl2,H13C17Cx2N3O2Cl2,H13C16Cx3N3O2Cl2	1
385	H15C17N3O3F4,H15C16CxN3O3F4,H15C17N3O2OxF4,H15C15Cx2N3O3F4,H15C14Cx3N3O3F4	-1,1
385	H19C14N5O6S,H19C13CxN5O6S,H19C14N5O6Sx,H19C14N5O5OxS,H19C12Cx2N5O6S,H19C11Cx3N5O6S	-1,1
385	H15C22N3O4,H15C21CxN3O4,H15C22N3O3Ox,H15C20Cx2N3O4,H15C19Cx3N3O4	1
385	H19C19N3O4S,H19C18CxN3O4S,H19C19N3O4Sx,H19C19N3O3OxS,H19C17Cx2N3O4S,H19C16Cx3N3O4S	-1,1
385	H19C15N3O9,H19C14CxN3O9,H19C15N3O8Ox,H19C13Cx2N3O9,H19C12Cx3N3O9	-1,1
385	H18C18NO5F3,H18C17CxNO5F3,H18C18NO4OxF3,H18C16Cx2NO5F3,H18C15Cx3NO5F3	-1,1
385	H21C17N3O4FCl,H21C16CxN3O4FCl,H21C17N3O4FClx,H21C17N3O3OxFCl,H21C15Cx2N3O4FCl,H21C14Cx3N3O4FCl	-1
385	H19C18N5O3S,H19C17CxN5O3S,H19C18N5O3Sx,H19C18N5O2OxS,H19C16Cx2N5O3S,H19C15Cx3N5O3S	-1,1
385	H19C23N3OS,H19C22CxN3OS,H19C23N3OSx,H19C21Cx2N3OS,H19C20Cx3N3OS	-1,1
385	H19C19N3O6,H19C18CxN3O6,H19C19N3O5Ox,H19C17Cx2N3O6,H19C16Cx3N3O6	-1
385	H23C20N3OS2,H23C19CxN3OS2,H23C20N3OSSx,H23C18Cx2N3OS2,H23C17Cx3N3OS2	-1
385	H19C19NO3F4,H19C18CxNO3F4,H19C19NO2OxF4,H19C17Cx2NO3F4,H19C16Cx3NO3F4	-1
385	H25C14O12,H25C13CxO12,H25C14O11Ox,H25C12Cx2O12,H25C11Cx3O12	-1
385	H23C21NO4S,H23C20CxNO4S,H23C21NO4Sx,H23C21NO3OxS,H23C19Cx2NO4S,H23C18Cx3NO4S	-1,1
385	H28C22NBr,H28C21CxNBr,H28C20Cx2NBr,H28C19Cx3NBr	1
385	H23C20N3O3S,H23C19CxN3O3S,H23C20N3O3Sx,H23C20N3O2OxS,H23C18Cx2N3O3S,H23C17Cx3N3O3S	-1,1
385	H23C21NO6,H23C20CxNO6,H23C21NO5Ox,H23C19Cx2NO6,H23C18Cx3NO6	-1
385	H19C22N5O2,H19C21CxN5O2,H19C22N5OOx,H19C20Cx2N5O2,H19C19Cx3N5O2	-1,1
385	H23C19N5O2S,H23C18CxN5O2S,H23C19N5O2Sx,H23C19N5OOxS,H23C17Cx2N5O2S,H23C16Cx3N5O2S	-1
385	H27C14NO11,H27C13CxNO11,H27C14NO10Ox,H27C12Cx2NO11,H27C11Cx3NO11	-1,1
385	H23C24N3S,H23C23CxN3S,H23C24N3Sx,H23C22Cx2N3S,H23C21Cx3N3S	1
385	H32C19NO2Br,H32C18CxNO2Br,H32C19NOOxBr,H32C17Cx2NO2Br,H32C16Cx3NO2Br	1
385	H27C17N3O5S,H27C16CxN3O5S,H27C17N3O5Sx,H27C17N3O4OxS,H27C15Cx2N3O5S,H27C14Cx3N3O5S	1
385	H24C19N7Cl,H24C18CxN7Cl,H24C19N7Clx,H24C17Cx2N7Cl,H24C16Cx3N7Cl	1
385	H23C24N3O2,H23C23CxN3O2,H23C24N3OOx,H23C22Cx2N3O2,H23C21Cx3N3O2	-1,1
385	H28C23NO2Cl,H28C22CxNO2Cl,H28C23NO2Clx,H28C23NOOxCl,H28C21Cx2NO2Cl,H28C20Cx3NO2Cl	-1,1
385	H27C21N3O2S,H27C20CxN3O2S,H27C21N3O2Sx,H27C21N3OOxS,H27C19Cx2N3O2S,H27C18Cx3N3O2S	-1,1
385	H23C18N7O3,H23C17CxN7O3,H23C18N7O2Ox,H23C16Cx2N7O3,H23C15Cx3N7O3	-1,1
385	H27C22NO5,H27C21CxNO5,H27C22NO4Ox,H27C20Cx2NO5,H27C19Cx3NO5	-1,1
385	H27C20N5OS,H27C19CxN5OS,H27C20N5OSx,H27C18Cx2N5OS,H27C17Cx3N5OS	1
385	H26C19N3O2F3,H26C18CxN3O2F3,H26C19N3OOxF3,H26C17Cx2N3O2F3,H26C16Cx3N3O2F3	1
385	H27C21N3O4,H27C20CxN3O4,H27C21N3O3Ox,H27C19Cx2N3O4,H27C18Cx3N3O4	-1,1
385	H31C18N3O4S,H31C17CxN3O4S,H31C18N3O4Sx,H31C18N3O3OxS,H31C16Cx2N3O4S,H31C15Cx3N3O4S	1
385	H27C20N5O3,H27C19CxN5O3,H27C20N5O2Ox,H27C18Cx2N5O3,H27C17Cx3N5O3	1
385	H27C25N3O,H27C24CxN3O,H27C23Cx2N3O,H27C22Cx3N3O	1
385	H31C22N3OS,H31C21CxN3OS,H31C22N3OSx,H31C20Cx2N3OS,H31C19Cx3N3OS	-1,1
385	H27C24N5,H27C23CxN5,H27C22Cx2N5,H27C21Cx3N5	1
385	H28C21N5OF,H28C20CxN5OF,H28C19Cx2N5OF,H28C18Cx3N5OF	-1,1
385	H35C16NO9,H35C15CxNO9,H35C16NO8Ox,H35C14Cx2NO9,H35C13Cx3NO9	-1,1
385	H31C21N5O2,H31C20CxN5O2,H31C21N5OOx,H31C19Cx2N5O2,H31C18Cx3N5O2	1
385	H31C26N3,H31C25CxN3,H31C24Cx2N3,H31C23Cx3N3	-1,1
385	H35C19N3O5,H35C18CxN3O5,H35C19N3O4Ox,H35C17Cx2N3O5,H35C16Cx3N3O5	-1,1
385	H39C21NO5,H39C20CxNO5,H39C21NO4Ox,H39C19Cx2NO5,H39C18Cx3NO5	-1,1
385	H39C25NO2,H39C24CxNO2,H39C25NOOx,H39C23Cx2NO2,H39C22Cx3NO2	1
385	H43C22NO4,H43C21CxNO4,H43C22NO3Ox,H43C20Cx2NO4,H43C19Cx3NO4	-1,1
386	H5C10OCl7,H5C10OCl6Clx,H5C8Cx2OCl7	-1
386	H4C9O4Cl6,H4C9O4Cl5Clx,H4C9O3OxCl6,H4C7Cx2O4Cl6,H4C6Cx3O4Cl6	-1
386	H7C11N4O2F3SCl2,H7C10CxN4O2F3SCl2,H7C11N4O2F3SxCl2,H7C11N4O2F3SClClx,H7C11N4OOxF3SCl2,H7C9Cx2N4O2F3SCl2,H7C8Cx3N4O2F3SCl2	-1
386	H11C17N2O4Br,H11C16CxN2O4Br,H11C17N2O3OxBr,H11C15Cx2N2O4Br,H11C14Cx3N2O4Br	-1
386	H11C17N4O2FS2,H11C16CxN4O2FS2,H11C17N4O2FSSx,H11C17N4OOxFS2,H11C15Cx2N4O2FS2,H11C14Cx3N4O2FS2	1
386	H12C19N2O3F2S,H12C18CxN2O3F2S,H12C19N2O3F2Sx,H12C19N2O2OxF2S,H12C17Cx2N2O3F2S,H12C16Cx3N2O3F2S	-1
386	H15C20O6Cl,H15C19CxO6Cl,H15C20O6Clx,H15C20O5OxCl,H15C18Cx2O6Cl,H15C17Cx3O6Cl	-1
386	H15C19N2O5Cl,H15C18CxN2O5Cl,H15C19N2O5Clx,H15C19N2O4OxCl,H15C17Cx2N2O5Cl,H15C16Cx3N2O5Cl	-1,1
386	H18C16O11,H18C15CxO11,H18C16O10Ox,H18C14Cx2O11,H18C13Cx3O11	-1
386	H2C4N24,H2C3CxN24,H2C2Cx2N24,H2CCx3N24	-1,1
386	H23C12N2O8PS,H23C11CxN2O8PS,H23C12N2O8PSx,H23C12N2O7OxPS,H23C10Cx2N2O8PS,H23C9Cx3N2O8PS	-1,1
386	H22C18N2O4Fe,H22C17CxN2O4Fe,H22C18N2O3OxFe,H22C16Cx2N2O4Fe,H22C15Cx3N2O4Fe	-1
386	H18C19N2O5S,H18C18CxN2O5S,H18C19N2O5Sx,H18C19N2O4OxS,H18C17Cx2N2O5S,H18C16Cx3N2O5S	-1
386	H15C24O4F,H15C23CxO4F,H15C24O3OxF,H15C22Cx2O4F,H15C21Cx3O4F	-1,1
386	H18C20O8,H18C19CxO8,H18C20O7Ox,H18C18Cx2O8,H18C17Cx3O8	-1
386	H22C17O8S,H22C16CxO8S,H22C17O8Sx,H22C17O7OxS,H22C15Cx2O8S,H22C14Cx3O8S	-1
386	H18C18N4O4S,H18C17CxN4O4S,H18C18N4O4Sx,H18C18N4O3OxS,H18C16Cx2N4O4S,H18C15Cx3N4O4S	-1,1
386	H25C19N2Cl3,H25C18CxN2Cl3,H25C19N2Cl2Clx,H25C17Cx2N2Cl3,H25C16Cx3N2Cl3	-1
386	H19C20N2O3FS,H19C19CxN2O3FS,H19C20N2O3FSx,H19C20N2O2OxFS,H19C18Cx2N2O3FS,H19C17Cx3N2O3FS	-1
386	H18C17N6O3S,H18C16CxN6O3S,H18C17N6O3Sx,H18C17N6O2OxS,H18C15Cx2N6O3S,H18C14Cx3N6O3S	-1
386	H23C16N4O3SCl,H23C15CxN4O3SCl,H23C16N4O3SxCl,H23C16N4O3SClx,H23C16N4O2OxSCl,H23C14Cx2N4O3SCl,H23C13Cx3N4O3SCl	-1,1
386	H19C24N2OCl,H19C23CxN2OCl,H19C24N2OClx,H19C22Cx2N2OCl,H19C21Cx3N2OCl	-1,1
386	H18C22N4OS,H18C21CxN4OS,H18C22N4OSx,H18C20Cx2N4OS,H18C19Cx3N4OS	-1,1
386	H22C17O10,H22C16CxO10,H22C17O9Ox,H22C15Cx2O10,H22C14Cx3O10	-1,1
386	H26C14O10S,H26C13CxO10S,H26C14O10Sx,H26C14O9OxS,H26C12Cx2O10S,H26C11Cx3O10S	-1,1
386	H14C24N6,H14C23CxN6,H14C22Cx2N6,H14C21Cx3N6	1
386	H22C20N2O4S,H22C19CxN2O4S,H22C20N2O4Sx,H22C20N2O3OxS,H22C18Cx2N2O4S,H22C17Cx3N2O4S	1
386	H22C21O7,H22C20CxO7,H22C21O6Ox,H22C19Cx2O7,H22C18Cx3O7	-1,1
386	H22C19N4O3S,H22C18CxN4O3S,H22C19N4O3Sx,H22C19N4O2OxS,H22C17Cx2N4O3S,H22C16Cx3N4O3S	-1,1
386	H22C20N2O6,H22C19CxN2O6,H22C20N2O5Ox,H22C18Cx2N2O6,H22C17Cx3N2O6	-1,1
386	H26C21N2OS2,H26C20CxN2OS2,H26C21N2OSSx,H26C19Cx2N2OS2,H26C18Cx3N2OS2	-1,1
386	H18C21N6O2,H18C20CxN6O2,H18C21N6OOx,H18C19Cx2N6O2,H18C18Cx3N6O2	-1,1
386	H20C20N4O2F2,H20C19CxN4O2F2,H20C20N4OOxF2,H20C18Cx2N4O2F2,H20C17Cx3N4O2F2	-1,1
386	H22C23N4S,H22C22CxN4S,H22C23N4Sx,H22C21Cx2N4S,H22C20Cx3N4S	-1,1
386	H26C20N4S2,H26C19CxN4S2,H26C20N4SSx,H26C18Cx2N4S2,H26C17Cx3N4S2	-1,1
386	H22C24N2O3,H22C23CxN2O3,H22C24N2O2Ox,H22C22Cx2N2O3,H22C21Cx3N2O3	-1
386	H34C18OSn,H34C17CxOSn,H34C16Cx2OSn,H34C15Cx3OSn	-1,1
386	H26C21N2O3S,H26C20CxN2O3S,H26C21N2O3Sx,H26C21N2O2OxS,H26C19Cx2N2O3S,H26C18Cx3N2O3S	1
386	H26C22O6,H26C21CxO6,H26C22O5Ox,H26C20Cx2O6,H26C19Cx3O6	-1,1
386	H22C23N4O2,H22C22CxN4O2,H22C23N4OOx,H22C21Cx2N4O2,H22C20Cx3N4O2	-1,1
386	H26C20N4O2S,H26C19CxN4O2S,H26C20N4O2Sx,H26C20N4OOxS,H26C18Cx2N4O2S,H26C17Cx3N4O2S	-1,1
386	H22C28N2,H22C27CxN2,H22C26Cx2N2,H22C25Cx3N2	-1
386	H26C16N4O7,H26C15CxN4O7,H26C16N4O6Ox,H26C14Cx2N4O7,H26C13Cx3N4O7	-1,1
386	H26C21N2O5,H26C20CxN2O5,H26C21N2O4Ox,H26C19Cx2N2O5,H26C18Cx3N2O5	1
386	H30C19O8,H30C18CxO8,H30C19O7Ox,H30C17Cx2O8,H30C16Cx3O8	-1,1
386	H26C20N4O4,H26C19CxN4O4,H26C20N4O3Ox,H26C18Cx2N4O4,H26C17Cx3N4O4	-1,1
386	H26C25N2O2,H26C24CxN2O2,H26C25N2OOx,H26C23Cx2N2O2,H26C22Cx3N2O2	-1,1
386	H30C22N2O2S,H30C21CxN2O2S,H30C22N2O2Sx,H30C22N2OOxS,H30C20Cx2N2O2S,H30C19Cx3N2O2S	1
386	H30C23O5,H30C22CxO5,H30C23O4Ox,H30C21Cx2O5,H30C20Cx3O5	-1,1
386	H26C24N4O,H26C23CxN4O,H26C22Cx2N4O,H26C21Cx3N4O	1
386	H27BC19N4O4,H27BC18CxN4O4,H27BC19N4O3Ox,H27BC17Cx2N4O4,H27BC16Cx3N4O4	-1,1
386	H30C22N2O4,H30C21CxN2O4,H30C22N2O3Ox,H30C20Cx2N2O4,H30C19Cx3N2O4	-1,1
386	H26C23N6,H26C22CxN6,H26C21Cx2N6,H26C20Cx3N6	1
386	H30C27O2,H30C26CxO2,H30C27OOx,H30C25Cx2O2,H30C24Cx3O2	1
386	H34C20O7,H34C19CxO7,H34C20O6Ox,H34C18Cx2O7,H34C17Cx3O7	-1,1
386	H30C21N4O3,H30C20CxN4O3,H30C21N4O2Ox,H30C19Cx2N4O3,H30C18Cx3N4O3	-1,1
386	H34C24O4,H34C23CxO4,H34C24O3Ox,H34C22Cx2O4,H34C21Cx3O4	-1,1
386	H34C17N6O2S,H34C16CxN6O2S,H34C17N6O2Sx,H34C17N6OOxS,H34C15Cx2N6O2S,H34C14Cx3N6O2S	-1,1
386	H38C21O4S,H38C20CxO4S,H38C21O4Sx,H38C21O3OxS,H38C19Cx2O4S,H38C18Cx3O4S	-1,1
386	H38C21O6,H38C20CxO6,H38C21O5Ox,H38C19Cx2O6,H38C18Cx3O6	-1,1
386	H34C22N4O2,H34C21CxN4O2,H34C22N4OOx,H34C20Cx2N4O2,H34C19Cx3N4O2	-1,1
386	H38C25O3,H38C24CxO3,H38C25O2Ox,H38C23Cx2O3,H38C22Cx3O3	1
386	H42C22O3S,H42C21CxO3S,H42C22O3Sx,H42C22O2OxS,H42C20Cx2O3S,H42C19Cx3O3S	1
386	H42C22O5,H42C21CxO5,H42C22O4Ox,H42C20Cx2O5,H42C19Cx3O5	-1,1
386	H46C23O4,H46C22CxO4,H46C23O3Ox,H46C21Cx2O4,H46C20Cx3O4	-1,1
387	H15C19N3O2Cl2,H15C18CxN3O2Cl2,H15C19N3O2ClClx,H15C19N3OOxCl2,H15C17Cx2N3O2Cl2,H15C16Cx3N3O2Cl2	-1
387	H17C18N3O3S2,H17C17CxN3O3S2,H17C18N3O3SSx,H17C18N3O2OxS2,H17C16Cx2N3O3S2,H17C15Cx3N3O3S2	-1,1
387	H21C19N3O2S2,H21C18CxN3O2S2,H21C19N3O2SSx,H21C19N3OOxS2,H21C17Cx2N3O2S2,H21C16Cx3N3O2S2	-1,1
387	H17C21N5OS,H17C20CxN5OS,H17C21N5OSx,H17C19Cx2N5OS,H17C18Cx3N5OS	1
387	H20C17N3O3F2Cl,H20C16CxN3O3F2Cl,H20C17N3O3F2Clx,H20C17N3O2OxF2Cl,H20C15Cx2N3O3F2Cl,H20C14Cx3N3O3F2Cl	-1
387	H18C18N5O2FS,H18C17CxN5O2FS,H18C18N5O2FSx,H18C18N5OOxFS,H18C16Cx2N5O2FS,H18C15Cx3N5O2FS	-1,1
387	H22C21NO4Cl,H22C20CxNO4Cl,H22C21NO4Clx,H22C21NO3OxCl,H22C19Cx2NO4Cl,H22C18Cx3NO4Cl	-1
387	H21C19N3O4S,H21C18CxN3O4S,H21C19N3O4Sx,H21C19N3O3OxS,H21C17Cx2N3O4S,H21C16Cx3N3O4S	-1,1
387	H22C19N5SCl,H22C18CxN5SCl,H22C19N5SxCl,H22C19N5SClx,H22C17Cx2N5SCl,H22C16Cx3N5SCl	-1
387	H20C18NO5F3,H20C17CxNO5F3,H20C18NO4OxF3,H20C16Cx2NO5F3,H20C15Cx3NO5F3	-1
387	H25C17NO7S,H25C16CxNO7S,H25C17NO7Sx,H25C17NO6OxS,H25C15Cx2NO7S,H25C14Cx3NO7S	-1
387	H19C18N7FCl,H19C17CxN7FCl,H19C18N7FClx,H19C16Cx2N7FCl,H19C15Cx3N7FCl	-1,1
387	H22C19N5O2Cl,H22C18CxN5O2Cl,H22C19N5O2Clx,H22C19N5OOxCl,H22C17Cx2N5O2Cl,H22C16Cx3N5O2Cl	1
387	H21C18N5O5,H21C17CxN5O5,H21C18N5O4Ox,H21C16Cx2N5O5,H21C15Cx3N5O5	-1,1
387	H25C15N5O5S,H25C14CxN5O5S,H25C15N5O5Sx,H25C15N5O4OxS,H25C13Cx2N5O5S,H25C12Cx3N5O5S	1
387	H21C23N3O3,H21C22CxN3O3,H21C23N3O2Ox,H21C21Cx2N3O3,H21C20Cx3N3O3	1
387	H22C20N3O4F,H22C19CxN3O4F,H22C20N3O3OxF,H22C18Cx2N3O4F,H22C17Cx3N3O4F	-1
387	H21C22N5O2,H21C21CxN5O2,H21C22N5OOx,H21C20Cx2N5O2,H21C19Cx3N5O2	-1,1
387	H26C21N3O2Cl,H26C20CxN3O2Cl,H26C21N3O2Clx,H26C21N3OOxCl,H26C19Cx2N3O2Cl,H26C18Cx3N3O2Cl	-1,1
387	H22C24N3OF,H22C23CxN3OF,H22C22Cx2N3OF,H22C21Cx3N3OF	-1,1
387	H23C21N3O2F2,H23C20CxN3O2F2,H23C21N3OOxF2,H23C19Cx2N3O2F2,H23C18Cx3N3O2F2	-1,1
387	H25C20N3O5,H25C19CxN3O5,H25C20N3O4Ox,H25C18Cx2N3O5,H25C17Cx3N3O5	-1,1
387	H25C19N5O4,H25C18CxN5O4,H25C19N5O3Ox,H25C17Cx2N5O4,H25C16Cx3N5O4	-1,1
387	H25C24N3O2,H25C23CxN3O2,H25C24N3OOx,H25C22Cx2N3O2,H25C21Cx3N3O2	-1,1
387	H26C21N3O3F,H26C20CxN3O3F,H26C21N3O2OxF,H26C19Cx2N3O3F,H26C18Cx3N3O3F	-1,1
387	H29C22NO5,H29C21CxNO5,H29C22NO4Ox,H29C20Cx2NO5,H29C19Cx3NO5	-1,1
387	H25C23N5O,H25C22CxN5O,H25C21Cx2N5O,H25C20Cx3N5O	-1,1
387	H34C19NO5P,H34C18CxNO5P,H34C19NO4OxP,H34C17Cx2NO5P,H34C16Cx3NO5P	1
387	H29C26NO2,H29C25CxNO2,H29C26NOOx,H29C24Cx2NO2,H29C23Cx3NO2	1
387	H29C20N5O3,H29C19CxN5O3,H29C20N5O2Ox,H29C18Cx2N5O3,H29C17Cx3N5O3	1
387	H29C25N3O,H29C24CxN3O,H29C23Cx2N3O,H29C22Cx3N3O	1
387	H33C23NO4,H33C22CxNO4,H33C23NO3Ox,H33C21Cx2NO4,H33C20Cx3NO4	1
387	H41C21NO5,H41C20CxNO5,H41C21NO4Ox,H41C19Cx2NO5,H41C18Cx3NO5	-1,1
387	H41C25NO2,H41C24CxNO2,H41C25NOOx,H41C23Cx2NO2,H41C22Cx3NO2	1
388	C3O9Na4K3-H	1
388	H13C17N2O4Br,H13C16CxN2O4Br,H13C17N2O3OxBr,H13C15Cx2N2O4Br,H13C14Cx3N2O4Br	-1,1
388	H14C9N2O11P2,H14C8CxN2O11P2,H14C9N2O10OxP2,H14C7Cx2N2O11P2,H14C6Cx3N2O11P2	-1
388	H13C20N4Br,H13C19CxN4Br,H13C18Cx2N4Br,H13C17Cx3N4Br	-1
388	H17C11O13P,H17C10CxO13P,H17C11O12OxP,H17C9Cx2O13P,H17C8Cx3O13P	-1
388	H14C18N4O2Cl2,H14C17CxN4O2Cl2,H14C18N4O2ClClx,H14C18N4OOxCl2,H14C16Cx2N4O2Cl2,H14C15Cx3N4O2Cl2	1
388	H16C17N4O3S2,H16C16CxN4O3S2,H16C17N4O3SSx,H16C17N4O2OxS2,H16C15Cx2N4O3S2,H16C14Cx3N4O3S2	-1
388	H16C19O9,H16C18CxO9,H16C19O8Ox,H16C17Cx2O9,H16C16Cx3O9	-1,1
388	H16C17N4O5S,H16C16CxN4O5S,H16C17N4O5Sx,H16C17N4O4OxS,H16C15Cx2N4O5S,H16C14Cx3N4O5S	-1
388	H21C11N2O11P,H21C10CxN2O11P,H21C11N2O10OxP,H21C9Cx2N2O11P,H21C8Cx3N2O11P	1
388	H20C20O6S,H20C19CxO6S,H20C20O6Sx,H20C20O5OxS,H20C18Cx2O6S,H20C17Cx3O6S	-1
388	H20C18N2F3SCl,H20C17CxN2F3SCl,H20C18N2F3SxCl,H20C18N2F3SClx,H20C16Cx2N2F3SCl,H20C15Cx3N2F3SCl	-1
388	H23C12NO11P,H23C11CxNO11P,H23C12NO10OxP,H23C10Cx2NO11P,H23C9Cx3NO11P	-1,1
388	H21C20N2O2SCl,H21C19CxN2O2SCl,H21C20N2O2SxCl,H21C20N2O2SClx,H21C20N2OOxSCl,H21C18Cx2N2O2SCl,H21C17Cx3N2O2SCl	-1,1
388	H17C17N6O3Cl,H17C16CxN6O3Cl,H17C17N6O3Clx,H17C17N6O2OxCl,H17C15Cx2N6O3Cl,H17C14Cx3N6O3Cl	-1,1
388	H20C20O8,H20C19CxO8,H20C20O7Ox,H20C18Cx2O8,H20C17Cx3O8	-1
